mfl_id,mfl_name,player,pos,team
12857,"Washington, DeAndre",deandre washington,RB,MIA
12859,"Anderson, Stephen",stephen anderson,TE,LAC
12860,"Fairbairn, Ka'imi",kaimi fairbairn,K,HOU
12868,"Braunecker, Ben",ben braunecker,TE,FA
12871,"Foster, D.J.",dj foster,RB,ARI
12873,"Jones, Andy",andy jones,WR,FA
12887,"Kelley, Rob",rob kelley,RB,FA
12890,"Jones, Tevin",tevin jones,WR,FA
12898,"Travis, Ross",ross travis,TE,NYJ
12912,"Richard, Jalen",jalen richard,RB,LVR
12913,"Erickson, Alex",alex erickson,WR,CIN
12916,"Holton, Johnny",johnny holton,WR,NYG
12917,"Harris, Maurice",maurice harris,WR,FA
12921,"Lewis, Tommylee",tommylee lewis,WR,FA
12923,"Ham, C.J.",cj ham,RB,MIN
12929,"Pope, Troymaine",troymaine pope,RB,FA
12930,"Anderson, Robby",robby anderson,WR,CAR
12934,"Rogers, Chester",chester rogers,WR,TEN
12955,"Manhertz, Chris",chris manhertz,TE,CAR
12956,"Lutz, Wil",wil lutz,K,NOS
13044,"Lengel, Matt",matt lengel,TE,FA
13057,"Carson, Tra",tra carson,RB,FA
13065,"Tomlinson, Eric",eric tomlinson,TE,BAL
13066,"Raymond, Kalif",kalif raymond,WR,TEN
13108,"McKissic, J.D.",jd mckissic,RB,WAS
13113,"Watson, Deshaun",deshaun watson,QB,HOU
13114,"Kizer, DeShone",deshone kizer,QB,TEN
13115,"Trubisky, Mitchell",mitchell trubisky,QB,CHI
13116,"Mahomes, Patrick",patrick mahomes,QB,KCC
13119,"Dobbs, Joshua",joshua dobbs,QB,PIT
13120,"Webb, Davis",davis webb,QB,BUF
13121,"Kelly, Chad",chad kelly,QB,FA
13124,"Rush, Cooper",cooper rush,QB,DAL
13125,"Beathard, C.J.",cj beathard,QB,SFO
13127,"Peterman, Nathan",nathan peterman,QB,LVR
13128,"Cook, Dalvin",dalvin cook,RB,MIN
13129,"Fournette, Leonard",leonard fournette,RB,TBB
13130,"McCaffrey, Christian",christian mccaffrey,RB,CAR
13131,"Mixon, Joe",joe mixon,RB,CIN
13132,"Kamara, Alvin",alvin kamara,RB,NOS
13133,"Perine, Samaje",samaje perine,RB,CIN
13134,"Foreman, D'Onta",donta foreman,RB,TEN
13135,"Gallman, Wayne",wayne gallman,RB,NYG
13136,"Clement, Corey",corey clement,RB,PHI
13138,"Hunt, Kareem",kareem hunt,RB,CLE
13139,"Williams, Jamaal",jamaal williams,RB,GBP
13140,"Dayes, Matthew",matthew dayes,RB,FA
13142,"Logan, T.J.",tj logan,RB,TBB
13143,"McNichols, Jeremy",jeremy mcnichols,RB,TEN
13144,"McGuire, Elijah",elijah mcguire,RB,MIA
13146,"Conner, James",james conner,RB,PIT
13148,"Ogunbowale, Dare",dare ogunbowale,RB,JAC
13153,"Davis, Corey",corey davis,WR,TEN
13154,"Williams, Mike",mike williams,WR,LAC
13155,"Ross, John",john ross,WR,CIN
13156,"Smith-Schuster, JuJu",juju smithschuster,WR,PIT
13157,"Samuel, Curtis",curtis samuel,WR,CAR
13158,"Westbrook, Dede",dede westbrook,WR,JAC
13161,"Scott, Artavis",artavis scott,WR,FA
13162,"Ford, Isaiah",isaiah ford,WR,MIA
13163,"Godwin, Chris",chris godwin,WR,TBB
13164,"Kupp, Cooper",cooper kupp,WR,LAR
13165,"Switzer, Ryan",ryan switzer,WR,CLE
13166,"Darboh, Amara",amara darboh,WR,CAR
13167,"Taylor, Taywan",taywan taylor,WR,CLE
13168,"Reynolds, Josh",josh reynolds,WR,LAR
13169,"Chesson, Jehu",jehu chesson,WR,FA
13170,"Gibson, Shelton",shelton gibson,WR,FA
13172,"Brown, Noah",noah brown,WR,DAL
13176,"Jones, Zay",zay jones,WR,LVR
13179,"Dieter, Gehrig",gehrig dieter,WR,KCC
13183,"Hansen, Chad",chad hansen,WR,HOU
13188,"Howard, O.J.",oj howard,TE,TBB
13189,"Engram, Evan",evan engram,TE,NYG
13190,"Butt, Jake",jake butt,TE,DEN
13192,"Njoku, David",david njoku,TE,CLE
13193,"Smith, Jonnu",jonnu smith,TE,TEN
13194,"Sprinkle, Jeremy",jeremy sprinkle,TE,WAS
13195,"Leggett, Jordan",jordan leggett,TE,FA
13197,"Roberts, Michael",michael roberts,TE,FA
13234,"Mack, Marlon",marlon mack,RB,IND
13235,"Malone, Josh",josh malone,WR,NYJ
13236,"Everett, Gerald",gerald everett,TE,LAR
13238,"Davis, Robert",robert davis,WR,FA
13239,"Penny, Elijhaa",elijhaa penny,RB,NYG
13240,"Hill, Brian",brian hill,RB,ATL
13241,"Rosas, Aldrick",aldrick rosas,K,JAC
13246,"Alie-Cox, Mo",mo aliecox,TE,IND
13254,"Shaheen, Adam",adam shaheen,TE,MIA
13277,"Golladay, Kenny",kenny golladay,WR,DET
13280,"Williams, Chad",chad williams,WR,KCC
13289,"Hollins, Mack",mack hollins,WR,MIA
13290,"Cohen, Tarik",tarik cohen,RB,CHI
13299,"Kittle, George",george kittle,TE,SFO
13303,"Elliott, Jake",jake elliott,K,PHI
13308,"Agnew, Jamal",jamal agnew,WR,DET
13313,"McKenzie, Isaiah",isaiah mckenzie,WR,BUF
13315,"Saubert, Eric",eric saubert,TE,JAC
13316,"Taylor, Trent",trent taylor,WR,SFO
13319,"Jones, Aaron",aaron jones,RB,GBP
13326,"Armah, Alexander",alexander armah,RB,CAR
13334,"Henderson, De'Angelo",deangelo henderson,RB,FA
13347,"Gonzalez, Zane",zane gonzalez,K,ARI
13348,"Moore, David",david moore,WR,SEA
13354,"Butker, Harrison",harrison butker,K,KCC
13364,"Carson, Chris",chris carson,RB,SEA
13366,"Schreck, Mason",mason schreck,TE,CIN
13367,"Carr, Austin",austin carr,WR,FA
13369,"Carter, Cethan",cethan carter,TE,CIN
13370,"Hogan, Krishawn",krishawn hogan,WR,ARI
13375,"Bolden, Victor",victor bolden,WR,DET
13377,"Patrick, Tim",tim patrick,WR,DEN
13378,"Breida, Matt",matt breida,RB,MIA
13382,"Seals-Jones, Ricky",ricky sealsjones,TE,KCC
13384,"Mizzell, Taquan",taquan mizzell,RB,NYG
13387,"Johnson, Marcus",marcus johnson,WR,FA
13389,"Sloter, Kyle",kyle sloter,QB,LVR
13391,"Hollister, Jacob",jacob hollister,TE,SEA
13396,"Daniels, Darrell",darrell daniels,TE,ARI
13398,"White, Tim",tim white,WR,FA
